modelo,perfil,retorno_promedio,drawdown_promedio,tasa_aceptacion,tasa_abandono,peor_retorno,score_sin_mae
BL actual 252/21 conf0.05,arriesgado,0.1591857142857143,0.09457142857142857,0.7857142857142857,0.0,-0.031,0.1119
BL actual 252/21 conf0.05,conservador,-0.009071428571428567,0.06432857142857143,0.7428571428571429,0.7142857142857143,-0.3353,-0.25552142857142857
BL actual 252/21 conf0.05,muy_arriesgado,0.1801142857142857,0.10291428571428571,0.8095142857142857,0.0,-0.002,0.12865714285714286
BL actual 252/21 conf0.05,muy_conservador,-0.0091,0.0,0.3333,0.0,-0.0091,-0.0091
BL actual 252/21 conf0.05,neutro,0.03454285714285714,0.09511428571428572,0.5595285714285715,0.2857142857142857,-0.6459,-0.09872857142857142
BL candidato 126/21 conf2,arriesgado,0.18495714285714285,0.08948571428571428,0.5476142857142857,0.0,-0.0105,0.1402142857142857
BL candidato 126/21 conf2,conservador,-0.00837142857142857,0.06412857142857144,0.6857142857142857,0.7142857142857143,-0.3353,-0.25472142857142854
BL candidato 126/21 conf2,muy_arriesgado,0.2311142857142857,0.11477142857142857,0.5237999999999999,0.0,-0.0414,0.1737285714285714
BL candidato 126/21 conf2,muy_conservador,-0.0091,0.0,0.3333,0.0,-0.0091,-0.0091
BL candidato 126/21 conf2,neutro,0.04065714285714286,0.09382857142857141,0.5714428571428571,0.2857142857142857,-0.6385,-0.09197142857142855
BL candidato 504/63 conf2,arriesgado,0.16245714285714286,0.1316,0.07142857142857142,0.0,-0.1279,0.09665714285714286
BL candidato 504/63 conf2,conservador,-0.006828571428571426,0.06284285714285714,0.7809571428571429,0.7142857142857143,-0.3353,-0.25253571428571425
BL candidato 504/63 conf2,muy_arriesgado,0.18268571428571428,0.14528571428571427,0.09524285714285716,0.0,-0.1441,0.11004285714285715
BL candidato 504/63 conf2,muy_conservador,-0.0091,0.0,0.3333,0.0,-0.0091,-0.0091
BL candidato 504/63 conf2,neutro,0.046071428571428576,0.09444285714285715,0.38094285714285714,0.2857142857142857,-0.6346,-0.0868642857142857
Sin BL,arriesgado,0.176,0.11247142857142857,0.9285714285714286,0.0,-0.2206,0.11976428571428571
Sin BL,conservador,-0.006914285714285714,0.06265714285714286,1.0,0.7142857142857143,-0.3353,-0.25252857142857144
Sin BL,muy_arriesgado,0.23561428571428572,0.13607142857142857,0.9404857142857143,0.0,-0.2893,0.16757857142857144
Sin BL,muy_conservador,-0.0091,0.0,0.3333,0.0,-0.0091,-0.0091
Sin BL,neutro,0.046685714285714296,0.09522857142857144,1.0,0.2857142857142857,-0.6272,-0.08664285714285713
