modelo,perfil,retorno_promedio,drawdown_promedio,tasa_aceptacion,tasa_abandono,prob_aceptacion_promedio,prob_abandono_promedio,meses_activos_promedio,mae,rmse,bias,hit_rate_signo,n_activos_promedio
con_bl,arriesgado,0.1591857142857143,0.09457142857142857,0.7857142857142857,0.0,0.7855847932356467,0.0,12.0,0.037985,0.048174,0.019386,0.6806,235.58
con_bl,conservador,-0.009071428571428567,0.06432857142857143,0.7428571428571429,0.7142857142857143,0.7029711031276891,0.2512992023629218,5.857142857142857,0.045102,0.058029,-0.009603,0.5417,295.0
con_bl,muy_arriesgado,0.1801142857142857,0.10291428571428571,0.8095142857142857,0.0,0.8262433520777269,0.0,12.0,0.044693,0.056873,0.024765,0.6667,223.1
con_bl,muy_conservador,-0.0091,0.0,0.3333,0.0,0.5,0.0,12.0,0.0,0.0,0.0,1.0,0.0
con_bl,neutro,0.03454285714285714,0.09511428571428572,0.5595285714285715,0.2857142857142857,0.5656741280517018,0.07158505078841218,10.285714285714286,0.041567,0.056455,-0.005165,0.5972,287.24
sin_bl,arriesgado,0.176,0.11247142857142857,0.9285714285714286,0.0,0.9486750080571396,0.0,12.0,0.039665,0.050495,0.013642,0.6528,273.75
sin_bl,conservador,-0.006914285714285714,0.06265714285714286,1.0,0.7142857142857143,0.9999878001695002,0.2442144703203395,5.857142857142857,0.042341,0.05471,-0.001759,0.6528,295.0
sin_bl,muy_arriesgado,0.23561428571428572,0.13607142857142857,0.9404857142857143,0.0,0.9488830151586303,0.0,12.0,0.050914,0.064178,0.015789,0.6528,248.19
sin_bl,muy_conservador,-0.0091,0.0,0.3333,0.0,0.5,0.0,12.0,0.0,0.0,0.0,1.0,0.0
sin_bl,neutro,0.046685714285714296,0.09522857142857144,1.0,0.2857142857142857,0.9920855487429964,0.07262280969150021,10.285714285714286,0.039641,0.053291,0.000446,0.6667,286.1
