perfil,observaciones,mae,rmse,bias,hit_rate_signo,peso_acciones_promedio,n_activos_promedio,corr_pred_real,max_weight
arriesgado,72,0.042565,0.051856,0.023664,0.5972,1.0,236.18,-0.0898,0.05
conservador,72,0.045443,0.05868,-0.010108,0.5139,1.0,300.0,-0.1114,0.05
muy_arriesgado,72,0.050054,0.06174,0.030138,0.6389,1.0,197.54,-0.0895,0.05
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,0.05
neutro,72,0.042224,0.056738,-0.005249,0.5833,1.0,277.24,-0.1713,0.05
arriesgado,72,0.045915,0.056483,0.025573,0.5278,1.0,186.58,-0.0716,0.1
conservador,72,0.045443,0.05868,-0.010108,0.5139,1.0,300.0,-0.1114,0.1
muy_arriesgado,72,0.057723,0.06889,0.033675,0.5694,1.0,184.56,-0.0331,0.1
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,0.1
neutro,72,0.042431,0.056899,-0.005184,0.5833,1.0,268.0,-0.1716,0.1
arriesgado,72,0.047951,0.059304,0.026817,0.5694,1.0,139.9,-0.0604,0.15
conservador,72,0.045443,0.05868,-0.010108,0.5139,1.0,300.0,-0.1114,0.15
muy_arriesgado,72,0.059736,0.072598,0.034752,0.5556,1.0,164.51,-0.0311,0.15
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,0.15
neutro,72,0.042452,0.056956,-0.005165,0.5833,1.0,258.31,-0.1721,0.15
arriesgado,72,0.048438,0.060153,0.027204,0.5556,1.0,125.15,-0.0865,0.2
conservador,72,0.045443,0.05868,-0.010108,0.5139,1.0,300.0,-0.1114,0.2
muy_arriesgado,72,0.06099,0.074663,0.034535,0.5972,1.0,132.06,-0.036,0.2
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,0.2
neutro,72,0.042449,0.056956,-0.005167,0.5833,1.0,257.08,-0.1721,0.2
arriesgado,72,0.048538,0.060017,0.027181,0.5556,1.0,127.06,-0.0861,0.25
conservador,72,0.045443,0.05868,-0.010108,0.5139,1.0,300.0,-0.1114,0.25
muy_arriesgado,72,0.061693,0.075567,0.034593,0.5972,1.0,110.42,-0.0401,0.25
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,0.25
neutro,72,0.042444,0.056953,-0.00516,0.5833,1.0,257.26,-0.1721,0.25
