max_weight,perfil,retorno_promedio,retorno_mediano,drawdown_promedio,abandono_promedio,prob_abandono_promedio,prob_aceptacion_promedio,meses_activos_promedio,mae,rmse,bias,hit_rate_signo,n_activos_promedio,score
0.05,arriesgado,0.148,0.1694,0.10115714285714286,0.0,0.0,0.8626675376002108,12.0,0.042565,0.051856,0.023664,0.5972,236.18,0.07613892857142857
0.1,arriesgado,0.14052857142857142,0.2473,0.1161,0.0,0.0,0.9093017110202136,12.0,0.045915,0.056483,0.025573,0.5278,186.58,0.05952107142857143
0.15,arriesgado,0.13684285714285713,0.2347,0.11939999999999999,0.0,0.0,0.9020735232897007,12.0,0.047951,0.059304,0.026817,0.5694,139.9,0.05316735714285713
0.2,arriesgado,0.12901428571428572,0.2233,0.12328571428571429,0.0,0.0,0.9147326281271615,12.0,0.048438,0.060153,0.027204,0.5556,125.15,0.04315242857142858
0.25,arriesgado,0.1273,0.217,0.12418571428571427,0.0,0.0,0.914840788711853,12.0,0.048538,0.060017,0.027181,0.5556,127.06,0.040938142857142854
0.05,conservador,-0.009814285714285711,0.0,0.0644,0.7142857142857143,0.2515612335075657,0.7003809119746319,5.857142857142857,0.045443,0.05868,-0.010108,0.5139,300.0,-0.2790215
0.1,conservador,-0.009814285714285711,0.0,0.0644,0.7142857142857143,0.2515612335075657,0.7003809119746319,5.857142857142857,0.045443,0.05868,-0.010108,0.5139,300.0,-0.2790215
0.15,conservador,-0.009814285714285711,0.0,0.0644,0.7142857142857143,0.2515612335075657,0.7003809119746319,5.857142857142857,0.045443,0.05868,-0.010108,0.5139,300.0,-0.2790215
0.2,conservador,-0.009814285714285711,0.0,0.0644,0.7142857142857143,0.2515612335075657,0.7003809119746319,5.857142857142857,0.045443,0.05868,-0.010108,0.5139,300.0,-0.2790215
0.25,conservador,-0.009814285714285711,0.0,0.0644,0.7142857142857143,0.2515612335075657,0.7003809119746319,5.857142857142857,0.045443,0.05868,-0.010108,0.5139,300.0,-0.2790215
0.05,muy_arriesgado,0.16944285714285715,0.1878,0.11571428571428573,0.0,0.0,0.9051715130605823,12.0,0.050054,0.06174,0.030138,0.6389,197.54,0.0865587142857143
0.1,muy_arriesgado,0.17214285714285713,0.1959,0.13382857142857144,0.0,0.0,0.9809364994637468,12.0,0.057723,0.06889,0.033675,0.5694,184.56,0.07636707142857141
0.15,muy_arriesgado,0.1564714285714286,0.1705,0.14994285714285713,0.0,0.0,0.9861683247704934,12.0,0.059736,0.072598,0.034752,0.5556,164.51,0.05163200000000003
0.2,muy_arriesgado,0.13534285714285715,0.1588,0.16022857142857141,0.0,0.0,0.9881365952031486,12.0,0.06099,0.074663,0.034535,0.5972,132.06,0.024733571428571445
0.25,muy_arriesgado,0.1265857142857143,0.1593,0.16584285714285715,0.0,0.0,0.9902087519966634,12.0,0.061693,0.075567,0.034593,0.5972,110.42,0.012817785714285726
0.05,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
0.1,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
0.15,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
0.2,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
0.25,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
0.05,neutro,0.02972857142857142,0.1368,0.09447142857142857,0.2857142857142857,0.07158388339387926,0.6697864068156344,10.285714285714286,0.042224,0.056738,-0.005249,0.5833,277.24,-0.12433342857142857
0.25,neutro,0.029214285714285713,0.1368,0.0945,0.2857142857142857,0.07158344301352414,0.6773603114580137,10.285714285714286,0.042444,0.056953,-0.00516,0.5833,257.26,-0.12497199999999999
0.1,neutro,0.029157142857142857,0.1368,0.0945,0.2857142857142857,0.07158342697282813,0.6773620568039214,10.285714285714286,0.042431,0.056899,-0.005184,0.5833,268.0,-0.12502264285714285
0.15,neutro,0.02912857142857143,0.1368,0.09452857142857142,0.2857142857142857,0.07158358379739828,0.6773368388026889,10.285714285714286,0.042452,0.056956,-0.005165,0.5833,258.31,-0.12507599999999996
0.2,neutro,0.02907142857142858,0.1368,0.09455714285714287,0.2857142857142857,0.07158358669705356,0.6773646213539798,10.285714285714286,0.042449,0.056956,-0.005167,0.5833,257.08,-0.12514592857142856
