train_years,max_weight,perfil,retorno_promedio,retorno_mediano,drawdown_promedio,abandono_promedio,prob_abandono_promedio,prob_aceptacion_promedio,meses_activos_promedio,mae,rmse,bias,hit_rate_signo,n_activos_promedio,score
5,0.01,arriesgado,0.16192857142857142,0.2006,0.08635714285714287,0.0,0.0,0.5542816288388058,12.0,0.034047,0.044028,0.009352,0.6806,249.82,0.1017265
5,0.025,arriesgado,0.1591857142857143,0.2089,0.09457142857142857,0.0,0.0,0.7855847932356467,12.0,0.037985,0.048174,0.019386,0.6806,235.58,0.0929075
5,0.05,arriesgado,0.1522857142857143,0.1631,0.1004142857142857,0.0,0.0,0.9080012660584489,12.0,0.04173,0.051372,0.023347,0.5833,222.71,0.08121357142857144
5,0.1,arriesgado,0.14757142857142855,0.2214,0.10825714285714286,0.0,0.0,0.9472353021171728,12.0,0.045077,0.055626,0.024707,0.5833,164.67,0.07090435714285712
5,0.15,arriesgado,0.1399857142857143,0.217,0.11232857142857143,0.0,0.0,0.9559837975288222,12.0,0.046187,0.057501,0.024208,0.6528,158.85,0.06072792857142857
5,0.2,arriesgado,0.13177142857142857,0.2129,0.11761428571428571,0.0,0.0,0.9581539809099546,12.0,0.047482,0.059145,0.026476,0.625,123.76,0.049223285714285706
5,0.01,conservador,-0.009071428571428567,0.0,0.06432857142857143,0.7142857142857143,0.2512992023629218,0.702971103127689,5.857142857142857,0.045102,0.058029,-0.009603,0.5417,295.0,-0.27807242857142855
5,0.025,conservador,-0.009071428571428567,0.0,0.06432857142857143,0.7142857142857143,0.2512992023629218,0.7029711031276891,5.857142857142857,0.045102,0.058029,-0.009603,0.5417,295.0,-0.27807242857142855
5,0.05,conservador,-0.009071428571428567,0.0,0.06432857142857143,0.7142857142857143,0.2512992023629218,0.7029711031276891,5.857142857142857,0.045102,0.058029,-0.009603,0.5417,295.0,-0.27807242857142855
5,0.1,conservador,-0.009071428571428567,0.0,0.06432857142857143,0.7142857142857143,0.2512992023629218,0.7029711031276891,5.857142857142857,0.045102,0.058029,-0.009603,0.5417,295.0,-0.27807242857142855
5,0.15,conservador,-0.009071428571428567,0.0,0.06432857142857143,0.7142857142857143,0.2512992023629218,0.7029711031276891,5.857142857142857,0.045102,0.058029,-0.009603,0.5417,295.0,-0.27807242857142855
5,0.2,conservador,-0.009071428571428567,0.0,0.06432857142857143,0.7142857142857143,0.2512992023629218,0.7029711031276891,5.857142857142857,0.045102,0.058029,-0.009603,0.5417,295.0,-0.27807242857142855
5,0.025,muy_arriesgado,0.1801142857142857,0.1821,0.10291428571428571,0.0,0.0,0.8262433520777269,12.0,0.044693,0.056873,0.024765,0.6667,223.1,0.10631064285714287
5,0.01,muy_arriesgado,0.16961428571428572,0.1932,0.09765714285714286,0.0,0.0,0.5362800745701635,12.0,0.039176,0.050925,0.014255,0.6944,254.6,0.10119771428571428
5,0.05,muy_arriesgado,0.17108571428571429,0.1666,0.11451428571428571,0.0,0.0,0.9268384927676253,12.0,0.049924,0.062352,0.030125,0.6111,199.57,0.08886657142857143
5,0.1,muy_arriesgado,0.15534285714285714,0.1749,0.13640000000000002,0.0,0.0,0.98689654985037,12.0,0.056387,0.068053,0.033081,0.5833,169.74,0.05894935714285714
5,0.15,muy_arriesgado,0.15792857142857142,0.1531,0.14281428571428573,0.0,0.0,0.9886887790707466,12.0,0.058806,0.071905,0.034378,0.5833,142.97,0.057118428571428556
5,0.2,muy_arriesgado,0.1455,0.1269,0.15,0.0,0.0,0.9909584353381299,12.0,0.061216,0.07483,0.034465,0.5556,122.9,0.039892
5,0.01,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
5,0.025,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
5,0.05,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
5,0.1,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
5,0.15,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
5,0.2,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
5,0.05,neutro,0.03685714285714286,0.1773,0.09530000000000001,0.2857142857142857,0.07158389032348277,0.5920407121521318,10.285714285714286,0.042135,0.056784,-0.00454,0.5694,282.06,-0.11757464285714285
5,0.1,neutro,0.03508571428571429,0.1685,0.09542857142857143,0.2857142857142857,0.07158419721808719,0.5962022055727507,10.285714285714286,0.042248,0.056831,-0.004468,0.5694,270.82,-0.11946685714285712
5,0.025,neutro,0.03454285714285714,0.1682,0.09511428571428572,0.2857142857142857,0.07158505078841218,0.5656741280517018,10.285714285714286,0.041567,0.056455,-0.005165,0.5972,287.24,-0.11951207142857143
5,0.15,neutro,0.034728571428571435,0.1711,0.09577142857142858,0.2857142857142857,0.07158481643325053,0.5962400113168919,10.285714285714286,0.042301,0.056915,-0.004448,0.5694,264.31,-0.12002192857142856
5,0.01,neutro,0.036328571428571425,0.1738,0.09777142857142858,0.2857142857142857,0.07158663915149724,0.40234117614292086,10.285714285714286,0.043501,0.05679,-0.009015,0.5417,289.35,-0.12002192857142857
5,0.2,neutro,0.03462857142857142,0.1707,0.09578571428571428,0.2857142857142857,0.07158483285461745,0.5962373202412878,10.285714285714286,0.042304,0.056911,-0.004451,0.5694,264.94,-0.12013057142857142
