anio,perfil,tasa_abandono,meses_activos_prom,retorno_prom,retorno_std,retorno_si_completa,frec_rebalanceo_prom,comision_prom,n_clientes,aceptacion_realizada_mc,abandono_anual_mc,se_abandono,se_aceptacion,max_weight,prob_aceptacion_prom_modelo,prob_abandono_prom_modelo,abandono_trayectoria_base,meses_trayectoria_base
2019,muy_conservador,0.0,12.0,-0.01,0.0,-0.01,0.4996,9954.29,5000,0.4995825,0.0,0.0,0.0020612886368771605,0.025,0.5,0.0,False,12
2019,conservador,0.6842,7.2,0.3632,0.0076,0.3526,0.4195,7117.18,5000,0.41954762,0.6842,0.006573741096209981,0.00332923593943944,0.025,0.2997955636898816,0.14517182284858615,True,5
2019,neutro,0.0,12.0,0.2794,0.0036,0.2794,0.2231,11546.27,5000,0.22306018000000002,0.0,0.0,0.0006805268725321343,0.01,0.22390207165355694,0.0,False,12
2019,arriesgado,0.0,12.0,0.2924,0.0007,0.2924,0.4465,12031.73,5000,0.44651965999999993,0.0,0.0,0.0006803723195394703,0.025,0.44599034346480076,0.0,False,12
2019,muy_arriesgado,0.0,12.0,0.3186,0.0034,0.3186,0.4547,12287.9,5000,0.45469976000000006,0.0,0.0,0.0006569653177103147,0.05,0.45510118954368045,0.0,False,12
2020,muy_conservador,0.0,12.0,-0.01,0.0,-0.01,0.4955,9954.29,5000,0.49549997999999995,0.0,0.0,0.002009995554429334,0.025,0.5,0.0,False,12
2020,conservador,1.0,2.0,-0.3687,0.0126,,1.0,1600.7,5000,1.0,1.0,0.0,0.0,0.025,0.9999909045334321,0.49908947578195384,True,2
2020,neutro,1.0,3.0,-0.6626,0.0027,,0.3888,2235.21,5000,0.38884426,1.0,0.0,0.0018240920355511977,0.01,0.38494565157671573,0.33333128423400765,True,3
2020,arriesgado,0.0,12.0,0.3939,0.0182,0.3939,0.5703,11044.3,5000,0.5702610800000001,0.0,0.0,0.0006028698906627645,0.025,0.5709168615582819,0.0,False,12
2020,muy_arriesgado,0.0,12.0,0.6379,0.0368,0.6379,0.7421,12206.9,5000,0.74208584,0.0,0.0,0.0007061166963446282,0.05,0.7420625500313959,0.0,False,12
2021,muy_conservador,0.0,12.0,-0.01,0.0,-0.01,0.4977,9954.29,5000,0.4976999399999999,0.0,0.0,0.002030280837828937,0.025,0.5,0.0,False,12
2021,conservador,0.581,5.6,0.5407,0.0779,0.449,1.0,5931.65,5000,1.0,0.581,0.006977664365674234,0.0,0.025,0.9999999999958555,0.5812485591598301,True,1
2021,neutro,0.0,12.0,0.449,0.0002,0.449,0.9959,12953.61,5000,0.9959349599999999,0.0,0.0,0.0002538336909636184,0.01,0.9958602798795578,0.0,False,12
2021,arriesgado,0.0,12.0,0.2525,0.0099,0.2525,0.9479,11818.86,5000,0.94793742,0.0,0.0,0.0005723199195963684,0.025,0.9474596862231731,0.0,False,12
2021,muy_arriesgado,0.0,12.0,0.2267,0.0063,0.2267,0.9661,11864.27,5000,0.9660969000000001,0.0,0.0,0.000578799282826059,0.05,0.9659861606273892,0.0,False,12
2022,muy_conservador,0.0,12.0,-0.01,0.0,-0.01,0.5005,9954.29,5000,0.50053292,0.0,0.0,0.0020314673534113994,0.025,0.5,0.0,False,12
2022,conservador,1.0,2.9,-0.2143,0.0087,,0.9982,2365.51,5000,0.99823662,1.0,0.0,0.00030475820400393085,0.025,0.9962790178198908,0.37846424952014,True,4
2022,neutro,0.9922,7.5,-0.2517,0.0209,-0.0872,0.2397,5780.93,5000,0.23967257999999997,0.9922,0.0012441189653726872,0.0013686978816404155,0.01,0.18990355559706523,0.1743640794824803,True,9
2022,arriesgado,0.0,12.0,-0.1953,0.014,-0.1953,0.2098,8563.61,5000,0.20984516000000003,0.0,0.0,0.0006851896603780722,0.025,0.20963199351610104,0.0,False,12
2022,muy_arriesgado,0.0,12.0,-0.2228,0.0083,-0.2228,0.2473,8220.02,5000,0.24730108,0.0,0.0,0.00023251902972994993,0.05,0.24725778245514926,0.0,False,12
2023,muy_conservador,0.0,12.0,-0.01,0.0,-0.01,0.4974,9954.29,5000,0.49741659999999993,0.0,0.0,0.0020238159417993663,0.025,0.5,0.0,False,12
2023,conservador,0.9944,6.7,0.1418,0.0199,0.2769,0.9898,6119.38,5000,0.9898289799999999,0.9944,0.0010553331227626706,0.0005953350481836586,0.025,0.9886020293043718,0.12119907692999454,True,5
2023,neutro,0.0,12.0,0.2694,0.0024,0.2694,0.5321,11234.0,5000,0.53207868,0.0,0.0,0.001121755227868259,0.01,0.5322686893287546,0.0,False,12
2023,arriesgado,0.0,12.0,0.1337,0.0098,0.1337,0.0499,10428.11,5000,0.049881919999999996,0.0,0.0,0.0006210822812339219,0.025,0.049873152754864924,0.0,False,12
2023,muy_arriesgado,0.0,12.0,0.1915,0.0354,0.1915,0.241,10882.17,5000,0.24101635999999999,0.0,0.0,0.001066961933352603,0.05,0.24060461539040212,0.0,False,12
2024,muy_conservador,0.0,12.0,-0.01,0.0,-0.01,0.4984,9954.29,5000,0.49841686,0.0,0.0,0.0020167366084984156,0.025,0.5,0.0,False,12
2024,conservador,0.0,12.0,0.2182,0.0,0.2182,1.0,11263.83,5000,1.0,0.0,0.0,0.0,0.025,0.9999993076254667,0.0,False,12
2024,neutro,0.0,12.0,0.2179,0.0009,0.2179,0.9872,11263.64,5000,0.9872046200000001,0.0,0.0,0.0004408722429435082,0.01,0.9863453356988586,0.0,False,12
2024,arriesgado,0.0,12.0,0.3085,0.0142,0.3085,0.4838,11733.93,5000,0.48380542000000004,0.0,0.0,0.0010496697072048735,0.025,0.4830867718620908,0.0,False,12
2024,muy_arriesgado,0.0,12.0,0.3171,0.027,0.3171,0.7355,11991.29,5000,0.73546914,0.0,0.0,0.000989008431848654,0.05,0.7338943971464817,0.0,False,12
2025,muy_conservador,0.0,12.0,-0.01,0.0,-0.01,0.5005,9954.29,5000,0.50053296,0.0,0.0,0.0020206384423420765,0.025,0.5,0.0,False,12
2025,conservador,0.0,12.0,0.2647,0.001,0.2647,0.9798,11364.44,5000,0.9797564400000001,0.0,0.0,0.0005491037223374625,0.025,0.9792290161047728,0.0,False,12
2025,neutro,0.0,12.0,0.2699,0.0046,0.2699,0.6577,11379.28,5000,0.65769398,0.0,0.0,0.0008066543032705625,0.01,0.6573638403655159,0.0,False,12
2025,arriesgado,0.0,12.0,0.2864,0.0117,0.2864,0.6765,11272.52,5000,0.6764971999999999,0.0,0.0,0.0007976323149760037,0.025,0.675679491304027,0.0,False,12
2025,muy_arriesgado,0.0,12.0,0.336,0.0067,0.336,0.7186,11342.33,5000,0.71862888,0.0,0.0,0.0005852796525110445,0.05,0.7191736970756609,0.0,False,12
