"train_years","max_weight","anio","perfil","retorno_anual","abandono","frecuencia_rebalanceo","prob_aceptacion_prom","prob_abandono_prom","meses_activos","max_drawdown"
"5","0.025","2019","arriesgado","0.2287","False","0.8333","0.8529752415080564","0.0","12","0.0324"
"5","0.025","2019","conservador","0.1002","True","0.2","0.0620748906721972","0.1451718228485861","5","0.0597"
"5","0.025","2019","muy_arriesgado","0.206","False","0.75","0.7762871652630631","0.0","12","0.0324"
"5","0.025","2019","muy_conservador","-0.0091","False","0.3333","0.5","0.0","12","0.0"
"5","0.025","2019","neutro","0.1682","False","0.9167","0.8537876000376462","0.0","12","0.0169"
"5","0.025","2020","arriesgado","0.2499","False","0.9167","0.8945295611985595","0.0","12","0.2417"
"5","0.025","2020","conservador","-0.3353","True","1.0","0.9996966415559968","0.4990894757819538","2","0.1131"
"5","0.025","2020","muy_arriesgado","0.3721","False","0.8333","0.8621191215572134","0.0","12","0.2396"
"5","0.025","2020","muy_conservador","-0.0091","False","0.3333","0.5","0.0","12","0.0"
"5","0.025","2020","neutro","-0.6459","True","1.0","0.9999997619369626","0.3333184740927347","3","0.2502"
"5","0.025","2021","arriesgado","0.2089","False","1.0","0.9999999999997328","0.0","12","0.0712"
"5","0.025","2021","conservador","0.0","True","1.0","0.8815518758274185","0.5812485591598301","1","0.0533"
"5","0.025","2021","muy_arriesgado","0.1821","False","1.0","1.0","0.0","12","0.0755"
"5","0.025","2021","muy_conservador","-0.0091","False","0.3333","0.5","0.0","12","0.0"
"5","0.025","2021","neutro","0.371","False","0.75","0.7500524269049723","0.0","12","0.0642"
"5","0.025","2022","arriesgado","-0.031","False","0.5833","0.5995626119633154","0.0","12","0.1441"
"5","0.025","2022","conservador","-0.1468","True","1.0","0.9998689328290616","0.37846424952014","4","0.0866"
"5","0.025","2022","muy_arriesgado","-0.002","False","0.5833","0.6449459132599017","0.0","12","0.1659"
"5","0.025","2022","muy_conservador","-0.0091","False","0.3333","0.5","0.0","12","0.0"
"5","0.025","2022","neutro","-0.2095","True","0.3333","0.3465730701183875","0.1677768814261506","9","0.1897"
"5","0.025","2023","arriesgado","0.0638","False","0.25","0.2304010187319588","0.0","12","0.0559"
"5","0.025","2023","conservador","-0.1139","True","0.0","1.663844059266629e-05","0.1551203092299426","5","0.0624"
"5","0.025","2023","muy_arriesgado","0.0956","False","0.5","0.5003573463900376","0.0","12","0.0645"
"5","0.025","2023","muy_conservador","-0.0091","False","0.3333","0.5","0.0","12","0.0"
"5","0.025","2023","neutro","0.1368","False","0.0","0.0029980086250607","0.0","12","0.0702"
"5","0.025","2024","arriesgado","0.2623","False","0.9167","0.9216251192732172","0.0","12","0.0283"
"5","0.025","2024","conservador","0.2144","False","1.0","0.9845048832388248","0.0","12","0.0428"
"5","0.025","2024","muy_arriesgado","0.2323","False","1.0","0.999994043937265","0.0","12","0.039"
"5","0.025","2024","muy_conservador","-0.0091","False","0.3333","0.5","0.0","12","0.0"
"5","0.025","2024","neutro","0.2166","False","0.6667","0.6565371442553921","0.0","12","0.0428"
"5","0.025","2025","arriesgado","0.1317","False","1.0","0.999999999974686","0.0","12","0.0884"
"5","0.025","2025","conservador","0.2179","False","1.0","0.9930838593297314","0.0","12","0.0324"
"5","0.025","2025","muy_arriesgado","0.1747","False","1.0","0.9999998741366078","0.0","12","0.1035"
"5","0.025","2025","muy_conservador","-0.0091","False","0.3333","0.5","0.0","12","0.0"
"5","0.025","2025","neutro","0.2046","False","0.25","0.3497708844834911","0.0","12","0.0318"
