train_years,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio,mae,rmse,bias,hit_rate_signo,n_activos_promedio,score
5,arriesgado,0.9442077713102957,0.0,0.147,0.158,0.9301,0.2288,84,False,143114.64,0.9643,0.0001,0.045785,0.057518,0.026768,0.6429,157.75,0.00970749999999999
6,arriesgado,0.9803157044907642,0.0,0.1502,0.1641,0.9154,0.2409,84,False,146460.41,0.9881,0.0,0.047436,0.05891,0.028999,0.5833,138.62,0.006031999999999999
4,arriesgado,0.9020735232897008,0.0,0.1281,0.1618,0.7914,0.2166,84,False,136788.98,0.9167,0.0006,0.048696,0.061207,0.030403,0.5595,140.2,-0.004548000000000003
3,arriesgado,0.9227044716091728,0.0,0.1213,0.1612,0.7527,0.2067,84,False,135807.55,0.9286,0.0002,0.049273,0.061062,0.031604,0.5714,130.36,-0.006686499999999991
2,arriesgado,0.9880341087030368,0.0,0.1172,0.164,0.7144,0.2261,84,False,134084.48,0.9881,0.0,0.049881,0.06264,0.031377,0.6071,155.43,-0.0207905
5,conservador,0.0620748906721972,0.1451718228485861,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051,0.041388,0.05449,-0.009059,0.5833,295.0,-0.250344
6,conservador,0.0788957391195549,0.1484991239910042,0.0957,0.1603,0.5968,0.0606,5,True,4795.94,0.2,0.0051,0.041266,0.054329,-0.008698,0.6071,290.0,-0.255233
2,conservador,0.0463608071348466,0.1470060408610933,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051,0.041591,0.055008,-0.009733,0.5714,300.0,-0.2558955
3,conservador,0.0445480127899789,0.1470060408610933,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051,0.041595,0.055011,-0.009735,0.5714,300.0,-0.2558975
4,conservador,0.0418591773942787,0.1470060408610933,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051,0.041602,0.055016,-0.009748,0.5595,300.0,-0.255901
5,muy_arriesgado,0.9886197391602602,0.0,0.1708,0.1963,0.8701,0.2059,84,False,171388.13,0.9881,0.0,0.058539,0.071663,0.037208,0.5714,145.65,0.038580500000000004
6,muy_arriesgado,0.990080845115904,0.0,0.1718,0.202,0.8506,0.2123,84,False,173949.98,0.9881,0.0,0.05837,0.072086,0.03729,0.5476,164.8,0.03646500000000001
4,muy_arriesgado,0.9861683247704932,0.0,0.1516,0.2033,0.7454,0.2504,84,False,162925.05,0.9881,0.0,0.060843,0.075157,0.039185,0.5357,159.96,-0.004021499999999994
3,muy_arriesgado,0.9795874835506811,0.0,0.1477,0.2024,0.7296,0.2533,84,False,164169.98,0.9881,0.0,0.060889,0.074137,0.040115,0.5476,156.4,-0.009394500000000014
2,muy_arriesgado,0.9893071675919848,0.0,0.1475,0.2016,0.7313,0.2673,84,False,161628.68,0.9881,0.0,0.06054,0.074465,0.037997,0.5714,143.54,-0.016419999999999997
2,muy_conservador,0.5,0.0,-0.0098,0.0,0.0,0.0,84,False,67633.39,0.5595,1.0,0.0,0.0,0.0,1.0,0.0,-0.0098
3,muy_conservador,0.5,0.0,-0.0098,0.0,0.0,0.0,84,False,67633.39,0.5595,1.0,0.0,0.0,0.0,1.0,0.0,-0.0098
4,muy_conservador,0.5,0.0,-0.0098,0.0,0.0,0.0,84,False,67633.39,0.5595,1.0,0.0,0.0,0.0,1.0,0.0,-0.0098
5,muy_conservador,0.5,0.0,-0.0098,0.0,0.0,0.0,84,False,67633.39,0.5595,1.0,0.0,0.0,0.0,1.0,0.0,-0.0098
6,muy_conservador,0.5,0.0,-0.0098,0.0,0.0,0.0,84,False,67633.39,0.5595,1.0,0.0,0.0,0.0,1.0,0.0,-0.0098
4,neutro,0.9705387493615,0.0666616410311274,-0.0668,0.1903,-0.351,0.2449,15,True,13993.14,0.9333,0.0001,0.038726,0.053535,-0.0023,0.6071,239.93,-0.508613
5,neutro,0.9694028691495032,0.0666636540883152,-0.0653,0.1946,-0.3356,0.25,15,True,14079.74,0.9333,0.0001,0.039092,0.053483,-0.004657,0.6071,265.69,-0.509846
3,neutro,0.9994513258693672,0.0666630764520428,-0.0706,0.193,-0.3659,0.2483,15,True,14042.26,1.0,0.0,0.037953,0.052573,-0.000281,0.5952,230.62,-0.5137265
6,neutro,0.9710381196746044,0.0666649533604922,-0.0748,0.1997,-0.3744,0.2557,15,True,14072.15,0.9333,0.0001,0.039089,0.053528,-0.004068,0.619,265.99,-0.5221945
2,neutro,0.999372983154446,0.0666660261687838,-0.0926,0.2122,-0.4364,0.2655,15,True,14066.46,1.0,0.0,0.03542,0.049135,0.005783,0.5476,210.42,-0.54306
