train_years,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
2,muy_conservador,0.5,0.0,-0.0098,0.0,0.0,0.0,84,False,67633.39,0.5595,1.0
2,conservador,0.046360807134846686,0.1470060408610933,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051
2,neutro,0.9993729831544459,0.06666602616878387,-0.0926,0.2122,-0.4364,0.2655,15,True,14066.46,1.0,0.0
2,arriesgado,0.9880341087030369,0.0,0.1172,0.164,0.7144,0.2261,84,False,134084.48,0.9881,0.0
2,muy_arriesgado,0.9893071675919847,0.0,0.1475,0.2016,0.7313,0.2673,84,False,161628.68,0.9881,0.0
3,muy_conservador,0.5,0.0,-0.0098,0.0,0.0,0.0,84,False,67633.39,0.5595,1.0
3,conservador,0.0445480127899789,0.1470060408610933,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051
3,neutro,0.9994513258693672,0.06666307645204282,-0.0706,0.193,-0.3659,0.2483,15,True,14042.26,1.0,0.0
3,arriesgado,0.9227044716091729,0.0,0.1213,0.1612,0.7527,0.2067,84,False,135807.55,0.9286,0.0002
3,muy_arriesgado,0.9795874835506811,0.0,0.1477,0.2024,0.7296,0.2533,84,False,164169.98,0.9881,0.0
4,muy_conservador,0.5,0.0,-0.0098,0.0,0.0,0.0,84,False,67633.39,0.5595,1.0
4,conservador,0.04185917739427872,0.1470060408610933,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051
4,neutro,0.9705387493615,0.06666164103112746,-0.0668,0.1903,-0.351,0.2449,15,True,13993.14,0.9333,0.0001
4,arriesgado,0.9020735232897007,0.0,0.1281,0.1618,0.7914,0.2166,84,False,136788.98,0.9167,0.0006
4,muy_arriesgado,0.9861683247704933,0.0,0.1516,0.2033,0.7454,0.2504,84,False,162925.05,0.9881,0.0
5,muy_conservador,0.5,0.0,-0.0098,0.0,0.0,0.0,84,False,67633.39,0.5595,1.0
5,conservador,0.06207489067219729,0.14517182284858615,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
5,neutro,0.9694028691495032,0.06666365408831522,-0.0653,0.1946,-0.3356,0.25,15,True,14079.74,0.9333,0.0001
5,arriesgado,0.9442077713102955,0.0,0.147,0.158,0.9301,0.2288,84,False,143114.64,0.9643,0.0001
5,muy_arriesgado,0.9886197391602602,0.0,0.1708,0.1963,0.8701,0.2059,84,False,171388.13,0.9881,0.0
6,muy_conservador,0.5,0.0,-0.0098,0.0,0.0,0.0,84,False,67633.39,0.5595,1.0
6,conservador,0.07889573911955497,0.14849912399100426,0.0957,0.1603,0.5968,0.0606,5,True,4795.94,0.2,0.0051
6,neutro,0.9710381196746044,0.06666495336049225,-0.0748,0.1997,-0.3744,0.2557,15,True,14072.15,0.9333,0.0001
6,arriesgado,0.9803157044907642,0.0,0.1502,0.1641,0.9154,0.2409,84,False,146460.41,0.9881,0.0
6,muy_arriesgado,0.9900808451159041,0.0,0.1718,0.202,0.8506,0.2123,84,False,173949.98,0.9881,0.0
